Year,Category,Nominee,Info,Won
1962 (35th),Actor Supporting,Omar Sharif,Lawrence of Arabia {'Sherif Ali ibn el Kharish'},NO
1962 (35th),Actor Supporting,Terence Stamp,Billy Budd {'Billy Budd'},NO
1961 (34th),Actor Supporting,George Chakiris,West Side Story {'Bernardo'},YES
1961 (34th),Actor Supporting,Montgomery Clift,Judgment at Nuremberg {'Rudolph Peterson'},NO
1961 (34th),Actor Supporting,Peter Falk,Pocketful of Miracles {'Joy Boy'},NO
1961 (34th),Actor Supporting,Jackie Gleason,The Hustler {'Minnesota Fats'},NO
1961 (34th),Actor Supporting,George C. Scott,The Hustler {'Bert Gordon'},NO
1960 (33rd),Actor Supporting,Peter Falk,"Murder, Inc. {'Abe Reles'}",NO
1960 (33rd),Actor Supporting,Jack Kruschen,The Apartment {'Dr. Dreyfuss'},NO
1960 (33rd),Actor Supporting,Sal Mineo,Exodus {'Dov Landau'},NO
1960 (33rd),Actor Supporting,Peter Ustinov,Spartacus {'Batiatus'},YES
1960 (33rd),Actor Supporting,Chill Wills,The Alamo {'Beekeeper'},NO
1959 (32nd),Actor Supporting,Hugh Griffith,Ben-Hur {'Sheik Ilderim'},YES
1959 (32nd),Actor Supporting,Arthur O'Connell,Anatomy of a Murder {'Parnell McCarthy'},NO
1959 (32nd),Actor Supporting,George C. Scott,Anatomy of a Murder {'Claude Dancer'},NO
1959 (32nd),Actor Supporting,Robert Vaughn,The Young Philadelphians {'Chester Gwynn'},NO
1959 (32nd),Actor Supporting,Ed Wynn,The Diary of Anne Frank {'Mr. Dussell'},NO
1958 (31st),Actor Supporting,Theodore Bikel,The Defiant Ones {'Sheriff Max Muller'},NO
1958 (31st),Actor Supporting,Lee J. Cobb,The Brothers Karamazov {'Fyodor Karamazov'},NO
1958 (31st),Actor Supporting,Burl Ives,The Big Country {'Rufus Hannassey'},YES
1958 (31st),Actor Supporting,Arthur Kennedy,Some Came Running {'Frank Hirsh'},NO
1958 (31st),Actor Supporting,Gig Young,Teacher's Pet {'Dr. Hugo Pine'},NO
1957 (30th),Actor Supporting,Red Buttons,Sayonara {'Joe Kelly'},YES
1957 (30th),Actor Supporting,Vittorio De Sica,A Farewell to Arms {'Major Alessandro Rinaldi'},NO
1957 (30th),Actor Supporting,Sessue Hayakawa,The Bridge on the River Kwai {'Saito'},NO
1957 (30th),Actor Supporting,Arthur Kennedy,Peyton Place {'Lucas Cross'},NO
1957 (30th),Actor Supporting,Russ Tamblyn,Peyton Place {'Norman Page'},NO
1956 (29th),Actor Supporting,Don Murray,Bus Stop {'Bo'},NO
1956 (29th),Actor Supporting,Anthony Perkins,Friendly Persuasion {'Josh Birdwell'},NO
1956 (29th),Actor Supporting,Anthony Quinn,Lust for Life {'Paul Gauguin'},YES
1956 (29th),Actor Supporting,Mickey Rooney,The Bold and the Brave {'Dooley'},NO
1956 (29th),Actor Supporting,Robert Stack,Written on the Wind {'Kyle Hadley'},NO
1955 (28th),Actor Supporting,Arthur Kennedy,Trial {'Barney Castle'},NO
1955 (28th),Actor Supporting,Jack Lemmon,Mister Roberts {'Ensign Pulver'},YES
1955 (28th),Actor Supporting,Joe Mantell,Marty {'Angie'},NO
1955 (28th),Actor Supporting,Sal Mineo,Rebel without a Cause {'Plato'},NO
1955 (28th),Actor Supporting,Arthur O'Connell,Picnic {'Howard Bevans'},NO
1954 (27th),Actor Supporting,Lee J. Cobb,On the Waterfront {'Johnny Friendly'},NO
1954 (27th),Actor Supporting,Karl Malden,On the Waterfront {'Father Barry'},NO
1954 (27th),Actor Supporting,Edmond O'Brien,The Barefoot Contessa {'Oscar Muldoon'},YES
1954 (27th),Actor Supporting,Rod Steiger,On the Waterfront {'Charles Malloy'},NO
1954 (27th),Actor Supporting,Tom Tully,The Caine Mutiny {'Captain DeVriess'},NO
1953 (26th),Actor Supporting,Eddie Albert,Roman Holiday {'Irving Radovich'},NO
1953 (26th),Actor Supporting,Brandon De Wilde,Shane {'Joey Starrett'},NO
1953 (26th),Actor Supporting,Jack Palance,Shane {'Wilson'},NO
1953 (26th),Actor Supporting,Frank Sinatra,From Here to Eternity {'Angelo Maggio'},YES
1953 (26th),Actor Supporting,Robert Strauss,Stalag 17 {'Stosh/'Animal''},NO
1952 (25th),Actor Supporting,Richard Burton,My Cousin Rachel {'Philip Ashley'},NO
1952 (25th),Actor Supporting,Arthur Hunnicutt,The Big Sky {'Zeb Callaway'},NO
1952 (25th),Actor Supporting,Victor McLaglen,The Quiet Man {'Red Will Danaher'},NO
1952 (25th),Actor Supporting,Jack Palance,Sudden Fear {'Lester Blaine'},NO
1952 (25th),Actor Supporting,Anthony Quinn,Viva Zapata! {'Eufemio Zapata'},YES
1951 (24th),Actor Supporting,Leo Genn,Quo Vadis {'Petronius'},NO
1951 (24th),Actor Supporting,Kevin McCarthy,Death of a Salesman {'Biff Loman'},NO
1951 (24th),Actor Supporting,Karl Malden,A Streetcar Named Desire {'Mitch'},YES
1951 (24th),Actor Supporting,Peter Ustinov,Quo Vadis {'Nero'},NO
1951 (24th),Actor Supporting,Gig Young,Come Fill the Cup {'Boyd Copeland'},NO
1950 (23rd),Actor Supporting,Jeff Chandler,Broken Arrow {'Cochise'},NO
1950 (23rd),Actor Supporting,Edmund Gwenn,Mister 880 {'Skipper Miller'},NO
1950 (23rd),Actor Supporting,Sam Jaffe,The Asphalt Jungle {'Dr. Erwin Riedenschneider'},NO
1950 (23rd),Actor Supporting,George Sanders,All about Eve {'Addison De Witt'},YES
1950 (23rd),Actor Supporting,Erich von Stroheim,Sunset Blvd. {'Max Von Mayerling'},NO
1949 (22nd),Actor Supporting,John Ireland,All the King's Men {'Jack Burden'},NO
1949 (22nd),Actor Supporting,Dean Jagger,Twelve O'Clock High {'Major Stovall'},YES
1949 (22nd),Actor Supporting,Arthur Kennedy,Champion {'Connie Kelly'},NO
1949 (22nd),Actor Supporting,Ralph Richardson,The Heiress {'Dr. Austin Sloper'},NO
1949 (22nd),Actor Supporting,James Whitmore,Battleground {'Kinnie'},NO
1948 (21st),Actor Supporting,Charles Bickford,Johnny Belinda {'Black McDonald'},NO
1948 (21st),Actor Supporting,José Ferrer,"Joan of Arc {'The Dauphin, Charles VIII'}",NO
1948 (21st),Actor Supporting,Oscar Homolka,I Remember Mama {'Uncle Chris'},NO
1948 (21st),Actor Supporting,Walter Huston,The Treasure of the Sierra Madre {'Howard'},YES
1948 (21st),Actor Supporting,Cecil Kellaway,The Luck of the Irish {'Horace'},NO
1947 (20th),Actor Supporting,Charles Bickford,The Farmer's Daughter {'Clancy'},NO
1947 (20th),Actor Supporting,Thomas Gomez,Ride the Pink Horse {'Pancho'},NO
1947 (20th),Actor Supporting,Edmund Gwenn,Miracle on 34th Street {'Kris Kringle'},YES
1947 (20th),Actor Supporting,Robert Ryan,Crossfire {'Montgomery'},NO
1947 (20th),Actor Supporting,Richard Widmark,Kiss of Death {'Tommy Udo'},NO
1946 (19th),Actor Supporting,Charles Coburn,The Green Years {'Alexander Gow'},NO
1946 (19th),Actor Supporting,William Demarest,The Jolson Story {'Steve Martin'},NO
1946 (19th),Actor Supporting,Claude Rains,Notorious {'Alexander Sebastian'},NO
1946 (19th),Actor Supporting,Harold Russell,The Best Years of Our Lives {'Homer Parrish'},YES
1946 (19th),Actor Supporting,Clifton Webb,The Razor's Edge {'Elliott Templeton'},NO
1945 (18th),Actor Supporting,Michael Chekhov,Spellbound {'Dr. Alex Brulov'},NO
1945 (18th),Actor Supporting,John Dall,The Corn Is Green {'Morgan Evans'},NO
1945 (18th),Actor Supporting,James Dunn,A Tree Grows in Brooklyn {'Johnny Nolan'},YES
1945 (18th),Actor Supporting,Robert Mitchum,G. I. Joe {'Lieutenant Walker'},NO
1945 (18th),Actor Supporting,J. Carrol Naish,A Medal for Benny {'Charlie Martini'},NO
1944 (17th),Actor Supporting,Hume Cronyn,The Seventh Cross {'Paul Roeder'},NO
1944 (17th),Actor Supporting,Barry Fitzgerald,Going My Way {'Father Fitzgibbon'},YES
1944 (17th),Actor Supporting,Claude Rains,Mr. Skeffington {'Job Skeffington'},NO
1944 (17th),Actor Supporting,Clifton Webb,Laura {'Waldo Lydecker'},NO
1944 (17th),Actor Supporting,Monty Woolley,Since You Went Away {'Colonel Smollett'},NO
1943 (16th),Actor Supporting,Charles Bickford,The Song of Bernadette {'Dean Peyramale'},NO
1943 (16th),Actor Supporting,Charles Coburn,The More the Merrier {'Benjamin Dingle'},YES
1943 (16th),Actor Supporting,J. Carrol Naish,Sahara {'Giuseppe'},NO
1943 (16th),Actor Supporting,Claude Rains,Casablanca {'Captain Louis Renault'},NO
1943 (16th),Actor Supporting,Akim Tamiroff,For Whom the Bell Tolls {'Pablo'},NO
1942 (15th),Actor Supporting,William Bendix,Wake Island {'Smacksie Randall'},NO
1942 (15th),Actor Supporting,Van Heflin,Johnny Eager {'Jeff Hartnett'},YES
1942 (15th),Actor Supporting,Walter Huston,Yankee Doodle Dandy {'Jerry Cohan'},NO
1942 (15th),Actor Supporting,Frank Morgan,Tortilla Flat {'The Pirate'},NO
1942 (15th),Actor Supporting,Henry Travers,Mrs. Miniver {'Mr. Ballard'},NO
1941 (14th),Actor Supporting,Walter Brennan,Sergeant York {'Pastor Posier Pile'},NO
1941 (14th),Actor Supporting,Charles Coburn,The Devil and Miss Jones {'John P. Merrick'},NO
1941 (14th),Actor Supporting,Donald Crisp,How Green Was My Valley {'Mr. Morgan'},YES
1941 (14th),Actor Supporting,James Gleason,Here Comes Mr. Jordan {'Max Corkle'},NO
1941 (14th),Actor Supporting,Sydney Greenstreet,The Maltese Falcon {'Kaspar Gutman'},NO
1940 (13th),Actor Supporting,Albert Basserman,Foreign Correspondent {'Van Meer'},NO
1940 (13th),Actor Supporting,Walter Brennan,The Westerner {'Judge Roy Bean'},YES
1940 (13th),Actor Supporting,William Gargan,"They Knew What They Wanted {'Joe, the Foreman'}",NO
1940 (13th),Actor Supporting,Jack Oakie,"The Great Dictator {'Napaloni, Dictator of Bacteria'}",NO
1940 (13th),Actor Supporting,James Stephenson,The Letter {'Howard Joyce'},NO
1939 (12th),Actor Supporting,Brian Aherne,Juarez {'Emperor Maximilian von Habsburg'},NO
1939 (12th),Actor Supporting,Harry Carey,Mr. Smith Goes to Washington {'President of the Senate'},NO
1939 (12th),Actor Supporting,Brian Donlevy,Beau Geste {'Sergeant Markoff'},NO
1939 (12th),Actor Supporting,Thomas Mitchell,Stagecoach {'Dr. Josiah Boone'},YES
1939 (12th),Actor Supporting,Claude Rains,Mr. Smith Goes to Washington {'Senator Joseph Paine'},NO
1938 (11th),Actor Supporting,Walter Brennan,Kentucky {'Peter Goodwin'},YES
1938 (11th),Actor Supporting,John Garfield,Four Daughters {'Mickey Borden'},NO
1938 (11th),Actor Supporting,Gene Lockhart,Algiers {'Regis'},NO
1938 (11th),Actor Supporting,Robert Morley,Marie Antoinette {'King Louis XVI'},NO
1938 (11th),Actor Supporting,Basil Rathbone,If I Were King {'Louis XI'},NO
1937 (10th),Actor Supporting,Ralph Bellamy,The Awful Truth {'Daniel Leeson'},NO
1937 (10th),Actor Supporting,Thomas Mitchell,The Hurricane {'Doctor Kersaint'},NO
1937 (10th),Actor Supporting,Joseph Schildkraut,The Life of Emile Zola {'Captain Alfred Dreyfus'},YES
1937 (10th),Actor Supporting,H. B. Warner,Lost Horizon {'Chang'},NO
1937 (10th),Actor Supporting,Roland Young,Topper {'Cosmo Topper'},NO
1936 (9th),Actor Supporting,Mischa Auer,My Man Godfrey {'Carlo'},NO
1936 (9th),Actor Supporting,Walter Brennan,Come and Get It {'Swan Bostrom'},YES
1936 (9th),Actor Supporting,Stuart Erwin,Pigskin Parade {'Amos Dodd'},NO
1936 (9th),Actor Supporting,Basil Rathbone,Romeo and Juliet {'Tybalt'},NO
1936 (9th),Actor Supporting,Akim Tamiroff,The General Died at Dawn {'General Yang'},NO
2010 (83rd),Actress Leading,Annette Bening,The Kids Are All Right {'Nic'},NO
2010 (83rd),Actress Leading,Nicole Kidman,Rabbit Hole {'Becca'},NO
2010 (83rd),Actress Leading,Jennifer Lawrence,Winter's Bone {'Ree'},NO
2010 (83rd),Actress Leading,Natalie Portman,Black Swan {'Nina Sayers/The Swan Queen'},YES
2010 (83rd),Actress Leading,Michelle Williams,Blue Valentine {'Cindy'},NO
2009 (82nd),Actress Leading,Sandra Bullock,The Blind Side {'Leigh Anne Tuohy'},YES
2009 (82nd),Actress Leading,Helen Mirren,The Last Station {'Sofya'},NO
2009 (82nd),Actress Leading,Carey Mulligan,An Education {'Jenny'},NO
2009 (82nd),Actress Leading,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire {'Precious'},NO
2009 (82nd),Actress Leading,Meryl Streep,Julie & Julia {'Julia Child'},NO
2008 (81st),Actress Leading,Anne Hathaway,Rachel Getting Married {'Kym'},NO
2008 (81st),Actress Leading,Angelina Jolie,Changeling {'Christine Collins'},NO
2008 (81st),Actress Leading,Melissa Leo,Frozen River {'Ray Eddy'},NO
2008 (81st),Actress Leading,Meryl Streep,Doubt {'Sister Aloysius Beauvier'},NO
2008 (81st),Actress Leading,Kate Winslet,The Reader {'Hanna Schmitz'},YES
2007 (80th),Actress Leading,Cate Blanchett,Elizabeth: The Golden Age {'Queen Elizabeth I'},NO
2007 (80th),Actress Leading,Julie Christie,Away from Her {'Fiona'},NO
2007 (80th),Actress Leading,Marion Cotillard,La Vie en Rose {'Edith Piaf'},YES
2007 (80th),Actress Leading,Laura Linney,The Savages {'Wendy Savage'},NO
2007 (80th),Actress Leading,Ellen Page,Juno {'Juno MacGuff'},NO
2006 (79th),Actress Leading,Penélope Cruz,Volver {'Raimunda'},NO
2006 (79th),Actress Leading,Judi Dench,Notes on a Scandal {'Barbara Covett'},NO
2006 (79th),Actress Leading,Helen Mirren,The Queen {'The Queen'},YES
2006 (79th),Actress Leading,Meryl Streep,The Devil Wears Prada {'Miranda Priestly'},NO
2006 (79th),Actress Leading,Kate Winslet,Little Children {'Sarah Pierce'},NO
2005 (78th),Actress Leading,Judi Dench,Mrs. Henderson Presents {'Mrs. Laura Henderson'},NO
2005 (78th),Actress Leading,Felicity Huffman,Transamerica {'Bree'},NO
2005 (78th),Actress Leading,Keira Knightley,Pride & Prejudice {'Elizabeth Bennet'},NO
2005 (78th),Actress Leading,Charlize Theron,North Country {'Josey Aimes'},NO
2005 (78th),Actress Leading,Reese Witherspoon,Walk the Line {'June Carter'},YES
2004 (77th),Actress Leading,Annette Bening,Being Julia {'Julia Lambert'},NO
2004 (77th),Actress Leading,Catalina Sandino Moreno,Maria Full of Grace {'Maria'},NO
2004 (77th),Actress Leading,Imelda Staunton,Vera Drake {'Vera'},NO
2004 (77th),Actress Leading,Hilary Swank,Million Dollar Baby {'Maggie Fitzgerald'},YES
2004 (77th),Actress Leading,Kate Winslet,Eternal Sunshine of the Spotless Mind {'Clementine Kruczynski'},NO
2003 (76th),Actress Leading,Keisha Castle-Hughes,Whale Rider {'Paikea'},NO
2003 (76th),Actress Leading,Diane Keaton,Something's Gotta Give {'Erica Barry'},NO
2003 (76th),Actress Leading,Samantha Morton,In America {'Sarah'},NO
2003 (76th),Actress Leading,Charlize Theron,Monster {'Aileen Wuornos'},YES
2003 (76th),Actress Leading,Naomi Watts,21 Grams {'Cristina Peck'},NO
2002 (75th),Actress Leading,Salma Hayek,Frida {'Frida Kahlo'},NO
2002 (75th),Actress Leading,Nicole Kidman,The Hours {'Virginia Woolf'},YES
2002 (75th),Actress Leading,Diane Lane,Unfaithful {'Connie Sumner'},NO
2002 (75th),Actress Leading,Julianne Moore,Far from Heaven {'Cathy Whitaker'},NO
2002 (75th),Actress Leading,Renée Zellweger,Chicago {'Roxie Hart'},NO
2001 (74th),Actress Leading,Halle Berry,Monster's Ball {'Leticia Musgrove'},YES
2001 (74th),Actress Leading,Judi Dench,Iris {'Iris Murdoch'},NO
2001 (74th),Actress Leading,Nicole Kidman,Moulin Rouge {'Satine'},NO
2001 (74th),Actress Leading,Sissy Spacek,In the Bedroom {'Ruth Fowler'},NO
2001 (74th),Actress Leading,Renée Zellweger,Bridget Jones's Diary {'Bridget Jones'},NO
2000 (73rd),Actress Leading,Joan Allen,The Contender {'Laine Hanson'},NO
2000 (73rd),Actress Leading,Juliette Binoche,Chocolat {'Vianne Rocher'},NO
2000 (73rd),Actress Leading,Ellen Burstyn,Requiem for a Dream {'Sara Goldfarb'},NO
2000 (73rd),Actress Leading,Laura Linney,You Can Count on Me {'Samantha 'Sammy' Prescott'},NO
2000 (73rd),Actress Leading,Julia Roberts,Erin Brockovich {'Erin Brockovich'},YES
1999 (72nd),Actress Leading,Annette Bening,American Beauty {'Carolyn Burnham'},NO
1999 (72nd),Actress Leading,Janet McTeer,Tumbleweeds {'Mary Jo Walker'},NO
1999 (72nd),Actress Leading,Julianne Moore,The End of the Affair {'Sarah Miles'},NO
1999 (72nd),Actress Leading,Meryl Streep,Music of the Heart {'Roberta Guaspari'},NO
1999 (72nd),Actress Leading,Hilary Swank,Boys Don't Cry {'Brandon Teena/Teena Brandon'},YES
1998 (71st),Actress Leading,Cate Blanchett,Elizabeth {'Queen Elizabeth I'},NO
1998 (71st),Actress Leading,Fernanda Montenegro,Central Station {'Dora'},NO
1998 (71st),Actress Leading,Gwyneth Paltrow,Shakespeare in Love {'Viola De Lesseps'},YES
1998 (71st),Actress Leading,Meryl Streep,One True Thing {'Kate Gulden'},NO
1998 (71st),Actress Leading,Emily Watson,Hilary and Jackie {'Jacqueline du Pré'},NO
1997 (70th),Actress Leading,Helena Bonham Carter,The Wings of the Dove {'Kate Croy'},NO
1997 (70th),Actress Leading,Julie Christie,Afterglow {'Phyllis Mann'},NO
1997 (70th),Actress Leading,Judi Dench,Mrs. Brown {'Queen Victoria'},NO
1997 (70th),Actress Leading,Helen Hunt,As Good as It Gets {'Carol Connelly'},YES
1997 (70th),Actress Leading,Kate Winslet,Titanic {'Rose DeWitt Bukater'},NO
1996 (69th),Actress Leading,Brenda Blethyn,Secrets & Lies {'Cynthia'},NO
1996 (69th),Actress Leading,Diane Keaton,Marvin's Room {'Bessie'},NO
1996 (69th),Actress Leading,Frances McDormand,Fargo {'Marge Gunderson'},YES
1996 (69th),Actress Leading,Kristin Scott Thomas,The English Patient {'Katharine Clifton'},NO
1996 (69th),Actress Leading,Emily Watson,Breaking the Waves {'Bess'},NO
1995 (68th),Actress Leading,Susan Sarandon,Dead Man Walking {'Sister Helen Prejean'},YES
1995 (68th),Actress Leading,Elisabeth Shue,Leaving Las Vegas {'Sera'},NO
1995 (68th),Actress Leading,Sharon Stone,Casino {'Ginger McKenna'},NO
1995 (68th),Actress Leading,Meryl Streep,The Bridges of Madison County {'Francesca Johnson'},NO
1995 (68th),Actress Leading,Emma Thompson,Sense and Sensibility {'Elinor Dashwood'},NO
1994 (67th),Actress Leading,Jodie Foster,Nell {'Nell'},NO
1994 (67th),Actress Leading,Jessica Lange,Blue Sky {'Carly Marshall'},YES
1994 (67th),Actress Leading,Miranda Richardson,Tom & Viv {'Viv'},NO
1994 (67th),Actress Leading,Winona Ryder,Little Women {'Jo March'},NO
1994 (67th),Actress Leading,Susan Sarandon,The Client {'Reggie Love'},NO
1993 (66th),Actress Leading,Angela Bassett,What's Love Got to Do with It {'Tina Turner'},NO
1993 (66th),Actress Leading,Stockard Channing,Six Degrees of Separation {'Ouisa Kittredge'},NO
1993 (66th),Actress Leading,Holly Hunter,The Piano {'Ada'},YES
1993 (66th),Actress Leading,Emma Thompson,The Remains of the Day {'Miss Kenton'},NO
1993 (66th),Actress Leading,Debra Winger,Shadowlands {'Joy Gresham'},NO
1992 (65th),Actress Leading,Catherine Deneuve,Indochine {'Eliane'},NO
1992 (65th),Actress Leading,Mary McDonnell,Passion Fish {'May-Alice'},NO
1992 (65th),Actress Leading,Michelle Pfeiffer,Love Field {'Lurene Hallett'},NO
1992 (65th),Actress Leading,Susan Sarandon,Lorenzo's Oil {'Michaela Odone'},NO
1992 (65th),Actress Leading,Emma Thompson,Howards End {'Margaret Schlegel'},YES
1991 (64th),Actress Leading,Geena Davis,Thelma & Louise {'Thelma'},NO
1991 (64th),Actress Leading,Laura Dern,Rambling Rose {'Rose'},NO
1991 (64th),Actress Leading,Jodie Foster,The Silence of the Lambs {'Clarice Starling'},YES
1991 (64th),Actress Leading,Bette Midler,For the Boys {'Dixie Leonard'},NO
1991 (64th),Actress Leading,Susan Sarandon,Thelma & Louise {'Louise'},NO
1990 (63rd),Actress Leading,Kathy Bates,Misery {'Annie Wilkes'},YES
1990 (63rd),Actress Leading,Anjelica Huston,The Grifters {'Lilly Dillon'},NO
1990 (63rd),Actress Leading,Julia Roberts,Pretty Woman {'Vivian Ward'},NO
1990 (63rd),Actress Leading,Meryl Streep,Postcards from the Edge {'Suzanne Vale'},NO
1990 (63rd),Actress Leading,Joanne Woodward,Mr. & Mrs. Bridge {'India Bridge'},NO
1989 (62nd),Actress Leading,Isabelle Adjani,Camille Claudel {'Camille Claudel'},NO
1989 (62nd),Actress Leading,Pauline Collins,Shirley Valentine {'Shirley Valentine'},NO
1989 (62nd),Actress Leading,Jessica Lange,Music Box {'Ann Talbot'},NO
1989 (62nd),Actress Leading,Michelle Pfeiffer,The Fabulous Baker Boys {'Susie Diamond'},NO
1989 (62nd),Actress Leading,Jessica Tandy,Driving Miss Daisy {'Daisy Werthan'},YES
1988 (61st),Actress Leading,Glenn Close,Dangerous Liaisons {'Marquise de Merteuil'},NO
1988 (61st),Actress Leading,Jodie Foster,The Accused {'Sarah Tobias'},YES
1988 (61st),Actress Leading,Melanie Griffith,Working Girl {'Tess McGill'},NO
1988 (61st),Actress Leading,Meryl Streep,A Cry in the Dark {'Lindy'},NO
1988 (61st),Actress Leading,Sigourney Weaver,Gorillas in the Mist {'Dian Fossey'},NO
1987 (60th),Actress Leading,Cher,Moonstruck {'Loretta Castorini'},YES
1987 (60th),Actress Leading,Glenn Close,Fatal Attraction {'Alex Forrest'},NO
1987 (60th),Actress Leading,Holly Hunter,Broadcast News {'Jane Craig'},NO
1987 (60th),Actress Leading,Sally Kirkland,Anna {'Anna'},NO
1987 (60th),Actress Leading,Meryl Streep,Ironweed {'Helen'},NO
1986 (59th),Actress Leading,Jane Fonda,The Morning After {'Alex Sternbergen'},NO
1986 (59th),Actress Leading,Marlee Matlin,Children of a Lesser God {'Sarah'},YES
1986 (59th),Actress Leading,Sissy Spacek,Crimes of the Heart {'Babe Magrath'},NO
1986 (59th),Actress Leading,Kathleen Turner,Peggy Sue Got Married {'Peggy Sue'},NO
1986 (59th),Actress Leading,Sigourney Weaver,Aliens {'Ripley'},NO
1985 (58th),Actress Leading,Anne Bancroft,Agnes of God {'Sister Miriam Ruth'},NO
1985 (58th),Actress Leading,Whoopi Goldberg,The Color Purple {'Celie'},NO
1985 (58th),Actress Leading,Jessica Lange,Sweet Dreams {'Patsy Cline'},NO
1985 (58th),Actress Leading,Geraldine Page,The Trip to Bountiful {'Mrs. Watts'},YES
1985 (58th),Actress Leading,Meryl Streep,Out of Africa {'Karen'},NO
1984 (57th),Actress Leading,Judy Davis,A Passage to India {'Adela Quested'},NO
1984 (57th),Actress Leading,Sally Field,Places in the Heart {'Edna Spalding'},YES
1984 (57th),Actress Leading,Jessica Lange,Country {'Jewell Ivy'},NO
1984 (57th),Actress Leading,Vanessa Redgrave,The Bostonians {'Olive Chancellor'},NO
1984 (57th),Actress Leading,Sissy Spacek,The River {'Mae Garvey'},NO
1983 (56th),Actress Leading,Jane Alexander,Testament {'Carol Wetherly'},NO
1983 (56th),Actress Leading,Shirley MacLaine,Terms of Endearment {'Aurora Greenway'},YES
1983 (56th),Actress Leading,Meryl Streep,Silkwood {'Karen Silkwood'},NO
1983 (56th),Actress Leading,Julie Walters,Educating Rita {'Rita'},NO
1983 (56th),Actress Leading,Debra Winger,Terms of Endearment {'Emma Horton'},NO
1982 (55th),Actress Leading,Julie Andrews,Victor/Victoria {'Victor/Victoria'},NO
1982 (55th),Actress Leading,Jessica Lange,Frances {'Frances Farmer'},NO
1982 (55th),Actress Leading,Sissy Spacek,Missing {'Beth Horman'},NO
1982 (55th),Actress Leading,Meryl Streep,Sophie's Choice {'Sophie'},YES
1982 (55th),Actress Leading,Debra Winger,An Officer and a Gentleman {'Paula Pokrifki'},NO
1981 (54th),Actress Leading,Katharine Hepburn,On Golden Pond {'Ethel Thayer'},YES
1981 (54th),Actress Leading,Diane Keaton,Reds {'Louise Bryant'},NO
1981 (54th),Actress Leading,Marsha Mason,Only When I Laugh {'Georgia'},NO
1981 (54th),Actress Leading,Susan Sarandon,Atlantic City {'Sally'},NO
1981 (54th),Actress Leading,Meryl Streep,The French Lieutenant's Woman {'Sara Woodruff/Anna'},NO
1980 (53rd),Actress Leading,Ellen Burstyn,Resurrection {'Edna May'},NO
1980 (53rd),Actress Leading,Goldie Hawn,Private Benjamin {'Judy Benjamin'},NO
1980 (53rd),Actress Leading,Mary Tyler Moore,Ordinary People {'Beth Jarrett'},NO
1980 (53rd),Actress Leading,Gena Rowlands,Gloria {'Gloria Swenson'},NO
1980 (53rd),Actress Leading,Sissy Spacek,Coal Miner's Daughter {'Loretta Lynn'},YES
1979 (52nd),Actress Leading,Jill Clayburgh,Starting Over {'Marilyn Homberg'},NO
1979 (52nd),Actress Leading,Sally Field,Norma Rae {'Norma Rae'},YES
1979 (52nd),Actress Leading,Jane Fonda,The China Syndrome {'Kimberly Wells'},NO
1979 (52nd),Actress Leading,Marsha Mason,Chapter Two {'Jennie MacLaine'},NO
1979 (52nd),Actress Leading,Bette Midler,The Rose {'Rose'},NO
1978 (51st),Actress Leading,Ingrid Bergman,Autumn Sonata {'Charlotte Andergast'},NO
1978 (51st),Actress Leading,Ellen Burstyn,"Same Time, Next Year {'Doris'}",NO
1978 (51st),Actress Leading,Jill Clayburgh,An Unmarried Woman {'Erica'},NO
1978 (51st),Actress Leading,Jane Fonda,Coming Home {'Sally Hyde'},YES
1978 (51st),Actress Leading,Geraldine Page,Interiors {'Eve'},NO
1977 (50th),Actress Leading,Anne Bancroft,The Turning Point {'Emma Jacklin'},NO
1977 (50th),Actress Leading,Jane Fonda,Julia {'Lillian Hellman'},NO
1977 (50th),Actress Leading,Diane Keaton,Annie Hall {'Annie Hall'},YES
1977 (50th),Actress Leading,Shirley MacLaine,The Turning Point {'Deedee Rodgers'},NO
1977 (50th),Actress Leading,Marsha Mason,The Goodbye Girl {'Paula McFadden'},NO
1976 (49th),Actress Leading,Marie-Christine Barrault,"Cousin, Cousine {'Marthe'}",NO
1976 (49th),Actress Leading,Faye Dunaway,Network {'Diana Christensen'},YES
1976 (49th),Actress Leading,Talia Shire,Rocky {'Adrian'},NO
1976 (49th),Actress Leading,Sissy Spacek,Carrie {'Carrie White'},NO
1976 (49th),Actress Leading,Liv Ullmann,Face to Face {'Dr. Jenny Isaksson'},NO
1975 (48th),Actress Leading,Isabelle Adjani,The Story of Adele H. {'Adele Hugo'},NO
1975 (48th),Actress Leading,Ann-Margret,Tommy {'Nora Walker Hobbs'},NO
1975 (48th),Actress Leading,Louise Fletcher,One Flew Over the Cuckoo's Nest {'Nurse Mildred Ratched'},YES
1975 (48th),Actress Leading,Glenda Jackson,Hedda {'Hedda Gabler'},NO
1975 (48th),Actress Leading,Carol Kane,Hester Street {'Gitl'},NO
1974 (47th),Actress Leading,Ellen Burstyn,Alice Doesn't Live Here Anymore {'Alice Hyatt'},YES
1974 (47th),Actress Leading,Diahann Carroll,Claudine {'Claudine'},NO
1974 (47th),Actress Leading,Faye Dunaway,Chinatown {'Evelyn Cross Mulwray'},NO
1974 (47th),Actress Leading,Valerie Perrine,Lenny {'Honey Bruce'},NO
